tsaEligible,damagedStateAbbreviation,residenceType,grossIncome,repairAmount,destroyed,waterLevel
1,FL,Apartment,40000.0,,0,
0,FL,House/Duplex,9060.0,,0,0.0
1,TX,House/Duplex,,,0,0.0
0,TX,Mobile Home,51943.0,1042.4,0,0.0
0,FL,Mobile Home,56000.0,,0,0.0
0,TX,Mobile Home,30000.0,,0,0.0
0,PR,Townhouse,85000.0,,0,
0,TX,Other,23040.0,,0,
0,LA,House/Duplex,,,0,
1,FL,Apartment,,,0,0.0
0,TX,House/Duplex,,,0,
1,TX,House/Duplex,12900.0,,0,29.0
0,FL,House/Duplex,36624.0,,0,
1,PR,Apartment,,,0,
0,LA,House/Duplex,23040.0,4517.35,0,0.0
1,LA,House/Duplex,0.0,,0,0.0
0,TX,House/Duplex,72000.0,12459.0,0,8.0
0,FL,Mobile Home,55000.0,,0,0.0
0,FL,Apartment,27000.0,,0,
0,FL,House/Duplex,24000.0,,0,0.0
0,FL,House/Duplex,51000.0,,0,
0,TX,Apartment,20000.0,,0,
0,TX,House/Duplex,,,0,
0,FL,Apartment,,,0,
0,LA,House/Duplex,20000.0,3234.32,0,0.0
0,FL,House/Duplex,70000.0,,0,
1,PR,Townhouse,9000.0,,0,
1,TX,House/Duplex,,13975.18,0,15.0
1,FL,Other,,,0,
1,FL,Apartment,,,0,
1,TX,House/Duplex,15600.0,,0,0.0
1,FL,Mobile Home,35000.0,,0,
0,FL,House/Duplex,12000.0,,0,0.0
0,TX,House/Duplex,,,0,
0,LA,House/Duplex,25000.0,,0,
0,FL,House/Duplex,24000.0,,0,
1,FL,House/Duplex,0.0,,0,0.0
1,PR,House/Duplex,20000.0,,0,0.0
0,FL,Apartment,20000.0,,0,
0,FL,Apartment,15000.0,,0,
1,TX,Other,32760.0,,0,
1,TX,House/Duplex,49000.0,,0,10.0
0,FL,Apartment,67840.0,,0,
0,LA,House/Duplex,16092.0,16465.43,0,0.0
0,FL,House/Duplex,70000.0,,0,
0,FL,Mobile Home,72000.0,,0,0.0
0,FL,House/Duplex,91436.0,,0,
0,LA,House/Duplex,,,0,0.0
1,TX,Apartment,12000.0,,0,0.0
0,TX,Apartment,,,0,
1,PR,House/Duplex,70000.0,,0,
0,FL,House/Duplex,,,0,
0,FL,Apartment,15000.0,,0,
1,FL,Apartment,22991.0,,0,0.0
1,FL,House/Duplex,,,0,
0,LA,Mobile Home,15600.0,,0,0.0
0,LA,House/Duplex,85280.0,,0,
0,FL,Apartment,20000.0,,0,0.0
0,FL,House/Duplex,22000.0,,0,
0,FL,House/Duplex,32000.0,,0,0.0
0,LA,House/Duplex,24000.0,,0,0.0
0,LA,House/Duplex,125000.0,,0,
1,LA,Mobile Home,9312.0,8050.73,0,0.0
0,FL,House/Duplex,86400.0,,0,
0,LA,House/Duplex,34560.0,,0,
1,TX,House/Duplex,13000.0,,0,
0,TX,Mobile Home,,,0,
1,FL,Townhouse,17000.0,,0,0.0
0,FL,Apartment,19000.0,,0,0.0
1,PR,House/Duplex,11250.0,,0,0.0
0,FL,House/Duplex,9860000.0,,0,
1,PR,House/Duplex,58200.0,,0,
1,FL,Apartment,7000.0,,0,0.0
0,TX,House/Duplex,30000.0,,0,
0,FL,House/Duplex,29000.0,,0,
0,FL,House/Duplex,106000.0,,0,
0,FL,House/Duplex,19266.0,,0,0.0
0,FL,Condo,25000.0,,0,
0,LA,Apartment,,,0,0.0
0,LA,House/Duplex,9000.0,,0,0.0
0,TX,House/Duplex,70000.0,,0,
0,FL,House/Duplex,21000.0,,0,
0,TX,Apartment,15000.0,,0,0.0
1,LA,Apartment,35000.0,,0,0.0
0,FL,House/Duplex,120000.0,,0,
1,FL,House/Duplex,,,0,
1,FL,Other,,,0,0.0
1,LA,Apartment,30000.0,,0,0.0
0,LA,Mobile Home,25000.0,,0,0.0
1,PR,Townhouse,22000.0,,0,0.0
1,PR,House/Duplex,32000.0,2658.36,0,0.0
0,FL,House/Duplex,36400.0,,0,0.0
1,PR,House/Duplex,29000.0,,0,0.0
1,PR,Townhouse,18168.0,2329.97,0,16.0
0,LA,Apartment,,,0,0.0
0,TX,House/Duplex,35000.0,,0,0.0
0,LA,House/Duplex,42000.0,,0,
1,PR,House/Duplex,19200.0,,0,0.0
0,FL,Condo,40000.0,,0,
1,PR,Townhouse,105000.0,,0,0.0
1,FL,House/Duplex,,,0,0.0
0,FL,Other,10000.0,,0,
1,FL,House/Duplex,12960.0,,0,0.0
1,FL,House/Duplex,0.0,,0,0.0
0,FL,House/Duplex,15000.0,,0,
0,TX,House/Duplex,40000.0,,0,
0,TX,House/Duplex,,,0,
0,LA,Apartment,0.0,,0,0.0
0,LA,House/Duplex,35000.0,,0,0.0
1,PR,House/Duplex,9600.0,7261.19,0,0.0
0,LA,Mobile Home,9100.0,,0,
0,TX,House/Duplex,79000.0,,0,5.0
0,TX,Apartment,2345.0,,0,0.0
0,TX,House/Duplex,50000.0,,0,
1,FL,Apartment,39000.0,,0,0.0
1,LA,House/Duplex,112000.0,,0,
0,FL,House/Duplex,60000.0,,0,
0,FL,House/Duplex,42500.0,,0,0.0
0,LA,House/Duplex,131000.0,,0,
0,LA,House/Duplex,30000.0,,0,
0,TX,House/Duplex,150000.0,,0,
0,PR,Townhouse,40272.0,,0,
1,TX,Apartment,84000.0,,0,
1,FL,House/Duplex,12000.0,,0,
1,PR,House/Duplex,12000.0,,0,0.0
1,TX,House/Duplex,,,0,
0,PR,House/Duplex,24540.0,962.19,0,0.0
1,FL,Townhouse,,,0,
0,FL,House/Duplex,21336.0,,0,0.0
0,FL,Mobile Home,,,0,0.0
0,FL,Apartment,29000.0,,0,0.0
1,FL,Apartment,,,0,0.0
0,LA,House/Duplex,77000.0,,0,
1,FL,Apartment,45000.0,,0,
0,FL,House/Duplex,30000.0,,0,0.0
0,FL,Apartment,,,0,
